x,y
0.0,0.0
1.0,0.99833417
2.0,1.9866933
3.0,2.955202
4.0,3.8941834
5.0,4.7942553
6.0,5.646425
7.0,6.442177
8.0,7.173561
9.0,7.833269
10.0,8.41471
11.0,8.912073
12.0,9.320391
13.0,9.635582
14.0,9.854497
15.0,9.97495
16.0,9.995736
17.0,9.916648
18.0,9.738477
19.0,9.463001
20.0,9.092975
21.0,8.632093
22.0,8.084964
23.0,7.457052
24.0,6.754632
25.0,5.9847217
26.0,5.1550136
27.0,4.273799
28.0,3.3498814
29.0,2.3924932
30.0,1.4112
31.0,0.41580662
32.0,-0.5837414
33.0,-1.577457
34.0,-2.555411
35.0,-3.5078323
36.0,-4.4252043
37.0,-5.2983613
38.0,-6.118579
39.0,-6.8776617
40.0,-7.568025
41.0,-8.182771
42.0,-8.715757
43.0,-9.161659
44.0,-9.516021
45.0,-9.775301
46.0,-9.93691
47.0,-9.999232
48.0,-9.961646
49.0,-9.824526
50.0,-9.589243
51.0,-9.258147
52.0,-8.834546
53.0,-8.322675
54.0,-7.727645
55.0,-7.055403
56.0,-6.3126664
57.0,-5.5068555
58.0,-4.646022
59.0,-3.7387667
60.0,-2.794155
61.0,-1.821625
62.0,-0.83089405
63.0,0.16813901
64.0,1.165492
65.0,2.1511998
66.0,3.1154137
67.0,4.048499
68.0,4.9411335
69.0,5.7843976
70.0,6.569866
71.0,7.2896905
72.0,7.9366784
73.0,8.504366
74.0,8.987081
75.0,9.38
76.0,9.679196
77.0,9.881682
78.0,9.985434
79.0,9.989413
80.0,9.893582
81.0,9.698898
82.0,9.407306
83.0,9.021718
84.0,8.545989
85.0,7.984871
86.0,7.343971
87.0,6.629692
88.0,5.849172
89.0,5.0102086
90.0,4.121185
91.0,3.1909835
92.0,2.2288992
93.0,1.2445443
94.0,0.24775426
95.0,-0.7515112
96.0,-1.7432678
97.0,-2.7176063
98.0,-3.6647913
99.0,-4.575359
