x,y
77.87158,9.170643
76.75481,9.009482
75.94528,8.173677
74.734406,7.506616
76.75481,9.009482
77.98888,9.398113
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
72.060165,6.452808
73.51337,7.127557
71.540375,5.8737664
75.94528,8.173677
74.734406,7.506616
76.75481,9.009482
77.98888,9.398113
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
77.98888,9.398113
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
76.75481,9.009482
77.98888,9.398113
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
91.12277,3.897722
89.46528,5.124995
90.68673,4.9997487
87.83673,5.862478
88.7378,5.9735603
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
91.94618,3.0808666
92.91459,2.1345987
77.98888,9.398113
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
76.75481,9.009482
77.98888,9.398113
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
91.12277,3.897722
89.46528,5.124995
90.68673,4.9997487
87.83673,5.862478
88.7378,5.9735603
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
91.94618,3.0808666
92.91459,2.1345987
92.91459,2.1345987
91.94618,3.0808666
92.91459,2.1345987
91.12277,3.897722
89.46528,5.124995
90.68673,4.9997487
87.83673,5.862478
88.7378,5.9735603
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
91.94618,3.0808666
92.91459,2.1345987
92.95472,1.0183159
90.791245,3.4344597
91.37496,2.6849825
92.29263,1.8015121
93.19824,0.9629215
93.851845,-0.001762554
88.75772,4.831615
89.74057,4.127731
87.041885,6.5930705
88.22535,5.7220783
85.65548,7.8677273
86.16624,6.908764
83.00795,8.411293
84.069954,8.377212
81.1239,9.080869
82.15931,8.918399
79.09133,9.051347
80.16443,9.061133
77.98888,9.398113
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
76.75481,9.009482
77.98888,9.398113
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
91.12277,3.897722
89.46528,5.124995
90.68673,4.9997487
87.83673,5.862478
88.7378,5.9735603
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
91.94618,3.0808666
92.91459,2.1345987
92.91459,2.1345987
91.94618,3.0808666
92.91459,2.1345987
91.12277,3.897722
89.46528,5.124995
90.68673,4.9997487
87.83673,5.862478
88.7378,5.9735603
85.624146,6.3676004
86.65932,6.478285
83.28263,7.7696934
84.40267,7.009194
81.45839,8.323655
82.43838,8.111024
79.09133,9.051347
80.32828,8.807643
87.83673,5.862478
88.444466,5.7526474
91.132385,4.097221
91.10945,2.9137123
89.51948,5.429791
90.386246,4.833702
91.94618,3.0808666
92.91459,2.1345987
92.95472,1.0183159
79.133385,9.068996
80.30285,9.649235
85.597244,7.2961965
86.59249,6.3616734
83.145546,7.9331164
84.411446,7.753868
81.399605,8.882135
82.17036,8.343617
87.15776,5.4668393
88.313736,4.757577
90.507225,2.1355615
89.143616,4.000573
90.38237,2.981528
93.8944,0.0903658
94.49463,-0.4462274
93.08089,0.3485442
91.95954,0.8429225
91.03952,1.3571664
70.44919,5.524783
69.12083,5.031392
68.49754,4.0393233
67.53074,3.4329026
66.486305,3.16488
64.998055,2.2887206
64.15951,1.5063034
62.446075,-0.32826853
63.42121,0.5565487
60.273743,-1.1824782
60.935852,-0.3127531
58.17987,-3.1831646
59.475124,-2.3455832
56.57438,-4.162339
57.524254,-3.7529762
54.998924,-6.140126
56.092213,-5.384967
53.58651,-7.46405
54.237244,-7.228482
51.74993,-8.058741
52.50914,-7.9050503
49.782066,-8.82181
50.663345,-7.927069
47.41473,-8.706475
48.460384,-9.267942
46.32232,-8.570131
43.706272,-8.316961
45.14317,-8.234038
42.588783,-8.030334
40.298622,-7.2988367
41.44091,-7.71457
39.229214,-6.8837476
38.38153,-6.6578107
37.176292,-5.6910305
43.271107,-8.52012
44.428276,-8.65909
45.17094,-9.244026
42.175697,-8.416612
39.092487,-6.4596424
40.062748,-7.2231283
40.90313,-8.047716
38.38153,-6.6578107
43.271107,-8.52012
44.428276,-8.65909
45.17094,-9.244026
42.175697,-8.416612
39.092487,-6.4596424
40.062748,-7.2231283
40.90313,-8.047716
38.38153,-6.6578107
46.320946,-10.235786
43.271107,-8.52012
44.428276,-8.65909
45.17094,-9.244026
42.175697,-8.416612
39.092487,-6.4596424
40.062748,-7.2231283
40.90313,-8.047716
38.38153,-6.6578107
46.320946,-10.235786
47.471092,-10.363489
43.271107,-8.52012
44.428276,-8.65909
45.17094,-9.244026
42.175697,-8.416612
39.092487,-6.4596424
40.062748,-7.2231283
40.90313,-8.047716
38.38153,-6.6578107
46.320946,-10.235786
47.471092,-10.363489
48.284073,-10.32559
38.38153,-6.6578107
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
38.38153,-6.6578107
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
50.36909,-9.093625
38.38153,-6.6578107
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
50.36909,-9.093625
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
50.36909,-9.093625
46.588257,-9.33958
47.22663,-8.853868
48.224678,-8.783684
49.348095,-8.553086
45.56497,-9.082169
43.885414,-8.164809
44.776283,-8.631898
42.67421,-8.0799
50.785713,-8.055411
51.912045,-8.558352
38.38153,-6.6578107
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
50.36909,-9.093625
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
50.36909,-9.093625
46.588257,-9.33958
47.22663,-8.853868
48.224678,-8.783684
49.348095,-8.553086
45.56497,-9.082169
43.885414,-8.164809
44.776283,-8.631898
42.67421,-8.0799
50.785713,-8.055411
51.912045,-8.558352
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
50.36909,-9.093625
46.588257,-9.33958
47.22663,-8.853868
48.224678,-8.783684
49.348095,-8.553086
45.56497,-9.082169
43.885414,-8.164809
44.776283,-8.631898
42.67421,-8.0799
50.785713,-8.055411
51.912045,-8.558352
46.588257,-9.33958
47.22663,-8.853868
48.224678,-8.783684
49.348095,-8.553086
45.56497,-9.082169
43.885414,-8.164809
44.776283,-8.631898
42.67421,-8.0799
50.785713,-8.055411
51.912045,-8.558352
52.9288,-9.192591
38.38153,-6.6578107
40.446945,-7.406248
41.790607,-7.7323585
39.34378,-6.822182
43.615353,-7.874048
44.89897,-7.5997906
42.67421,-8.0799
45.58636,-8.15555
46.59052,-8.457052
47.27054,-8.689114
48.424175,-8.653719
49.279995,-8.85606
