x,y
97.44859,-2.7991278
96.39158,-3.9058123
96.744804,-4.5045667
96.31118,-4.124423
97.303764,-3.8931787
95.6362,-4.4094205
96.62386,-3.7662392
95.57685,-4.011086
96.89356,-4.4563074
96.35004,-4.7248273
95.89225,-4.434252
96.470474,-4.1610885
96.42677,-3.971203
96.17974,-4.216529
96.24632,-4.338453
96.140526,-4.507513
96.01302,-4.4900193
96.45403,-4.932364
95.92136,-4.555823
96.22302,-4.5963173
97.08339,-4.920611
96.69435,-4.5697875
97.20423,-4.860958
96.77301,-4.3503466
98.58677,-1.1254164
98.26527,-0.9290655
97.73327,-1.6595058
98.15716,-2.3329594
98.240746,-1.656831
98.27683,-1.8325626
98.33639,-1.8021294
96.79844,-4.0931706
97.63065,-2.6937988
97.313194,-4.2244334
97.2748,-3.2873502
97.04201,-3.6741607
98.54574,-2.5535536
97.31197,-3.870879
96.57744,-4.4406123
96.56151,-3.5809677
97.74325,-2.4765146
97.77597,-2.7397668
97.8585,-3.1682112
98.2808,-2.6852353
97.06602,-3.3075619
96.72574,-3.9168167
98.007195,-2.1035163
98.224915,-2.2419822
97.65649,-2.4433453
98.06833,-2.8688512
97.515,-3.3476315
97.45354,-4.345437
97.45354,-4.345437
97.781975,-3.9598134
97.808716,-3.9281785
97.808716,-3.9281785
98.50968,-3.1060748
98.50968,-3.1060748
98.36862,-3.2763412
98.36862,-3.2763412
97.56282,-3.2798567
97.86912,-3.7642844
97.11508,-4.191216
97.66554,-4.0708613
97.328224,-3.152611
97.35024,-3.6251163
97.79306,-3.9319992
97.79306,-3.9319992
97.62418,-3.8485982
97.163765,-3.9543867
97.64197,-3.527728
97.5838,-2.7486129
97.62283,-3.4188344
97.87946,-2.6321263
97.43298,-3.3259068
97.532135,-3.3080747
98.356476,-2.1049347
98.57254,-1.7994033
98.56109,-1.8223749
98.64807,-1.7306322
98.54195,-2.4465299
98.37771,-1.7965267
98.16881,-2.717838
98.52789,-2.730283
98.58086,-2.405975
98.90038,-2.3099954
98.831535,-2.9904706
99.0122,-2.9749947
98.54286,-1.815706
99.23843,-1.4781651
98.44982,-2.2478998
98.43361,-2.0763476
98.1622,-1.2930747
98.15556,-2.228564
98.43468,-1.3189158
95.79346,-4.220068
98.9589,-1.6742543
98.661125,-2.1960251
98.266075,-0.8994631
98.10251,-2.5715458
98.4199,-2.3186133
99.14428,-2.305116
97.97526,-2.219035
97.79093,-2.6041355
95.84762,-3.4911275
97.070175,-3.7533598
97.305786,-3.7056558
96.48344,-3.779053
96.82997,-3.9589531
97.38071,-3.4858806
96.83588,-3.769009
96.59545,-3.8299427
96.74398,-4.014255
96.69339,-3.6670246
96.096825,-3.6506135
96.57613,-3.7970266
96.25137,-3.816663
96.99698,-3.8379781
97.54214,-3.6895947
95.78327,-3.297614
97.53888,-3.9514706
95.614975,-3.4721272
97.372284,-3.5318525
97.00265,-4.020107
96.643364,-3.7338064
99.2532,-2.7704666
99.2532,-2.7704666
99.2532,-2.7704666
99.02176,-3.067311
99.02176,-3.067311
99.02176,-3.067311
99.28814,-2.9631648
99.28814,-2.9631648
99.28814,-2.9631648
99.103455,-2.6791399
99.103455,-2.6791399
99.103455,-2.6791399
99.26429,-2.9118772
99.26429,-2.9118772
99.26429,-2.9118772
99.064255,-2.953994
99.064255,-2.953994
99.064255,-2.953994
99.16445,-2.2483358
99.16445,-2.2483358
98.80728,-1.9737401
98.80728,-1.9737401
99.38412,-2.3360357
99.38412,-2.3360357
98.86338,-2.5385823
98.86338,-2.5385823
98.757095,-2.5646484
98.757095,-2.5646484
99.239006,-1.9934689
99.12263,-2.2059348
99.12263,-2.2059348
99.12263,-2.2059348
98.75801,-2.3188806
98.75801,-2.3188806
98.84805,-2.247086
98.84805,-2.247086
98.99944,-2.0138667
98.99944,-2.0138667
99.42307,-1.9800718
99.42307,-1.9800718
99.19935,-1.8579803
99.19935,-1.8579803
98.9965,-2.1523366
98.9965,-2.1523366
99.15936,-2.949778
99.15936,-2.949778
99.15936,-2.949778
99.04126,-2.759328
99.04126,-2.759328
99.29482,-2.9548974
99.29482,-2.9548974
98.64771,-2.6861935
98.64771,-2.6861935
98.85943,-2.7348888
98.85943,-2.7348888
98.85943,-2.7348888
99.186424,-2.7549171
99.186424,-2.7549171
99.90697,-1.9143881
99.90697,-1.9143881
99.90697,-1.9143881
99.74157,-2.1012404
99.74157,-2.1012404
99.74157,-2.1012404
99.71377,-2.1641226
99.71377,-2.1641226
100.01245,-1.6162707
100.01245,-1.6162707
100.01245,-1.6162707
99.65518,-1.7825688
99.65518,-1.7825688
99.65518,-1.7825688
99.695175,-1.7135637
99.695175,-1.7135637
98.81925,-2.3870165
98.69013,-2.4187357
98.83306,-2.4596064
98.81019,-2.5585883
98.7393,-2.5788212
98.97379,-2.6944518
99.35215,-2.440196
99.51552,-2.003003
99.07241,-2.3718555
99.07241,-2.3718555
98.817444,-2.582514
99.077805,-2.5482366
99.00677,-2.374952
99.05743,-3.1906364
99.05743,-3.1906364
99.05743,-3.1906364
99.05743,-3.1906364
98.89017,-2.9983163
98.89017,-2.9983163
98.89017,-2.9983163
98.89017,-2.9983163
98.84371,-3.3938704
98.84371,-3.3938704
98.84371,-3.3938704
98.84371,-3.3938704
99.02801,-3.4640265
99.02801,-3.4640265
99.02801,-3.4640265
99.02801,-3.4640265
99.02801,-3.4640265
99.09957,-3.2455752
99.09957,-3.2455752
99.09957,-3.2455752
99.09957,-3.2455752
99.09018,-3.312227
99.09018,-3.312227
99.09018,-3.312227
99.09018,-3.312227
98.650246,-2.909033
98.8077,-2.7700834
98.58612,-3.0514488
98.68257,-2.7874355
98.645164,-3.155754
99.25019,-2.8562267
98.13716,-3.41975
98.13716,-3.41975
98.13716,-3.41975
98.60719,-3.633579
98.60719,-3.633579
98.72912,-3.5333624
98.72912,-3.5333624
98.72912,-3.5333624
98.323524,-3.552037
98.323524,-3.552037
98.323524,-3.552037
98.33472,-3.3363519
98.33472,-3.3363519
98.33472,-3.3363519
98.24656,-3.5803492
98.24656,-3.5803492
98.24656,-3.5803492
98.43214,-3.1072323
98.16222,-2.8382597
98.16222,-2.8382597
97.9641,-3.10264
98.08318,-3.0271006
98.280045,-3.4670475
97.90753,-3.3652399
97.90753,-3.3652399
98.808685,-2.499659
99.06726,-2.5015593
99.06726,-2.5015593
99.493546,-2.2833269
99.11141,-2.2364497
99.11141,-2.2364497
99.13529,-1.9972128
99.03569,-2.0837734
99.03569,-2.0837734
99.18704,-2.59198
99.36875,-2.8997984
98.87521,-2.8739665
98.953636,-2.7933176
98.953636,-2.7933176
99.22964,-2.9105403
99.19855,-2.9140277
99.53589,-2.3665943
99.53589,-2.3665943
99.569725,-2.4368007
99.32604,-2.3025439
99.32604,-2.3025439
99.67771,-2.454811
99.67771,-2.454811
99.39201,-2.413843
99.49425,-2.7213426
99.49425,-2.7213426
99.46403,-2.42169
99.46403,-2.42169
99.12289,-2.9226515
99.12289,-2.9226515
99.12289,-2.9226515
99.12105,-2.8303668
99.12105,-2.8303668
99.12105,-2.8303668
98.84765,-2.7120078
98.84765,-2.7120078
98.84765,-2.7120078
98.84765,-2.7120078
98.975876,-3.2475598
98.975876,-3.2475598
98.975876,-3.2475598
99.244286,-3.1978765
99.244286,-3.1978765
99.244286,-3.1978765
99.2788,-2.7308638
99.2788,-2.7308638
