x,y
0.0,0.0
1.0057285,-0.005939952
1.9354725,0.059876297
2.7420244,0.90832305
3.3734334,2.1119773
3.9759746,3.0735803
4.893606,3.9282484
5.681938,4.818985
6.3569427,5.9146757
7.374047,6.680316
8.710338,7.2594185
9.670256,7.914901
10.726197,8.471321
11.908435,8.825104
13.099759,8.963792
14.31443,9.214216
15.507169,9.538252
16.674952,9.672218
17.86398,9.63677
19.026125,9.529749
20.148067,9.216021
21.169281,8.851706
22.182095,8.29036
23.101755,7.611809
24.05207,7.044413
25.042183,6.52749
25.86753,5.7568307
26.648294,4.7049627
27.617155,3.7666123
28.66317,3.1144886
29.495079,2.2805448
30.141172,1.2339272
30.819708,0.45328072
31.91289,-0.2755636
32.521446,-1.1502821
33.36937,-2.146238
34.292328,-3.1650553
35.293648,-3.693823
36.42103,-4.3179917
37.213314,-5.547489
37.84374,-6.6850204
38.929417,-7.3694158
40.121616,-8.040859
41.108635,-8.802706
42.086426,-9.212683
43.306137,-9.268506
44.504177,-9.3762245
45.74733,-9.667507
46.91928,-9.927374
48.039738,-9.841578
49.202114,-9.534697
50.348892,-9.335611
51.467728,-9.114964
52.540215,-8.681058
53.549572,-8.072339
54.471695,-7.3878403
55.295338,-6.6179314
56.299137,-5.8576293
57.274734,-5.091708
58.264038,-4.205354
59.24001,-3.3576367
60.14538,-2.4434042
60.933212,-1.3033137
62.009354,-0.4123225
62.987473,0.3853553
63.725586,1.407248
64.54525,2.3924408
65.50627,3.1605449
66.61192,3.958764
67.50005,4.9273477
68.43224,5.656159
69.57304,6.153929
70.6005,6.810033
71.5097,7.5360184
72.46417,8.179629
73.54248,8.678557
74.70737,9.084716
75.84402,9.701388
76.85238,10.224021
78.10755,10.206039
79.3212,10.145522
80.5113,9.680583
81.55441,9.397149
82.70427,9.140322
83.82385,8.692654
84.767105,7.9805202
85.74775,7.3749046
86.73873,6.77557
87.77687,6.212592
88.51845,5.4037395
89.37307,4.5137796
90.25751,3.7014859
91.16664,2.8032882
92.00778,1.825398
92.87918,1.1416547
93.80467,0.28962624
94.75894,-0.7369733
95.70684,-1.4508487
96.61754,-2.1966221
97.65375,-2.7936795
